HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l10  | staande heeft, soo deselve voor den tijd

HTR: NOTI01181/NOTI01181000475.xml#r2l19        | den Heer Jan Hackman op den 31 Jan
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l19  | den Heer Jan Hackman op den 31 Janu¬

HTR: NOTI01181/NOTI01181000475.xml#r2l22        | guldens
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l22  | guldens.

HTR: NOTI01181/NOTI01181000475.xml#r2l37        | voor 't geheel often deele zal mogen of
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l37  | voor't geheel often deele zal mogen af¬

HTR: NOTI01181/NOTI01181000475.xml#r2l42        | capitaal
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l42  | capitaal.

HTR: NOTI01181/NOTI01181000475.xml#r2l43        | compareerde mede voor mij Notaris
GT : 12788_NOTI01181/NOTI01181000475.xml#r1l43  | Compareerde mede voor mij Notaris

HTR: NOTI01181/NOTI01181000476.xml#r1l7         | in praesentie van Hendrik Mooijma
GT : 12788_NOTI01181/NOTI01181000476.xml#r1l7   | in praesentie van Hendrik Mooijman

HTR: NOTI01181/NOTI01181000476.xml#r1l13        | Mejndert Bolde
GT : 12788_NOTI01181/NOTI01181000476.xml#r1l13  | Myndert Boede

HTR: NOTI01181/NOTI01181000477.xml#r1l1         | No: 163
GT : 12788_NOTI01181/NOTI01181000477.xml#r1l1   | No. 163

HTR: NOTI01181/NOTI01181000477.xml#r1l2         | Cliford.
GT : 12788_NOTI01181/NOTI01181000477.xml#r1l2   | Clifford.

HTR: NOTI01181/NOTI01181000477.xml#r1l11        | Wouter van Lienen com¬
GT : 12788_NOTI01181/NOTI01181000477.xml#r1l11  | Wouter van Lienen Com¬

HTR: NOTI01181/NOTI01181000478.xml#r4l3         | zijnde alle van competente ouderdom en
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l3   | Zijnde alle van Competente ouderdom en

HTR: NOTI01181/NOTI01181000478.xml#r4l4         | nu laastleden te weten de eerste als opper
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l4   | nu laastleden te weten de eerste als opper¬

HTR: NOTI01181/NOTI01181000478.xml#r4l5         | stierman, de twede en derde als harponiers
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l5   | stierman, de tweede en derde als harponiers,

HTR: NOTI01181/NOTI01181000478.xml#r4l7         | op het schip genaamt de Vreede gevoert
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l7   | op het Schip genaamt de Vreede gevoert

HTR: NOTI01181/NOTI01181000478.xml#r4l8         | door Commandeur Wouter van Lienen
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l8   | door Commandeur Wouter van Lienen.

HTR: NOTI01181/NOTI01181000478.xml#r4l12        | Wouter van Lienen Commandeur van
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l11  | Wouter van Lienen Commmandeur van

HTR: NOTI01181/NOTI01181000478.xml#r4l13        | het schip genaamt de Vreede hebben ge¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l12  | het Schip genaamt de Vreede hebben ge¬

HTR: NOTI01181/NOTI01181000478.xml#r4l14        | tuijgt en verklaart
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l13  | tuijgt en verklaart.

HTR: NOTI01181/NOTI01181000478.xml#r4l16        | Dat op den 9e Maij deses Jaars 1745
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l14  | Dat op den 9.e Maij deses Jaars 1745

HTR: NOTI01181/NOTI01181000478.xml#r4l17        | wanneer hun getuijgens schip in 't ijs in
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l15  | wanneer hun getuijgens Schip in 't ijs in

HTR: NOTI01181/NOTI01181000478.xml#r4l18        | Groenland op de hoogte van Seven en se¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l16  | Groenland op de hoogte van Seven en Se¬

HTR: NOTI01181/NOTI01181000478.xml#r4l19        | ventig graden Noorden eljk aan met
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l17  | ventig graden Noorden breette aan  met

HTR: NOTI01181/NOTI01181000478.xml#r4l20        | de Mars zeijls voor de Mast in 't ijs lag
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l18  | de Mars Zeijls voor de Mast in 't ijs lag

HTR: NOTI01181/NOTI01181000478.xml#r4l22        | te drijven tegen de wind, het schip ge¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l19  | te drijven, tegen de wind, het Schip ge¬

HTR: NOTI01181/NOTI01181000478.xml#r4l23        | naamt de Gerrit & Mari en gevoert werdende
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l20  | naamt de Gerrit & Maria en gevoert werdende

HTR: NOTI01181/NOTI01181000478.xml#r4l25        | met desselvs volle zeijlen in ruijm water
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l22  | met desselvs volle Zeijlen in ruijm water

HTR: NOTI01181/NOTI01181000478.xml#r4l26        | en voor de wind op hun getuijgens schip
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l23  | en voor de wind op hun getuijgens Schip

HTR: NOTI01181/NOTI01181000478.xml#r4l28        | het bovengemelde schip de Gerrit & Mari gevoert
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l25  | het bovengemelde Schip de Gerrit & Maria gevoert

HTR: NOTI01181/NOTI01181000478.xml#r4l30        | getuijgens schip dus aankwam aan het
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l27  | getuijgens Schip dus aankwam, aan het

HTR: NOTI01181/NOTI01181000478.xml#r4l32        | Jan Gulik, gelijk zij getuijgen die toe
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l29  | Jan Gulik, gelijk Zij getuijgen, die toen

HTR: NOTI01181/NOTI01181000478.xml#r4l40        | staande het schip van de voornoemde
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l36  | staande het Schip van de voornoemde

HTR: NOTI01181/NOTI01181000478.xml#r4l41        | Jan Gulik alhoewel het scheepsvolk
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l37  | Jan Gulik alhoewel het Scheepsvolk

HTR: NOTI01181/NOTI01181000478.xml#r4l42        | van het selve schip gemackelijk boven
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l38  | van het Selve Schip gemackelijk boven

HTR: NOTI01181/NOTI01181000478.xml#r4l44        | en beneden hun getuijgens schip Konden
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l40  | en beneden hun getuijgens Schip Konden

HTR: NOTI01181/NOTI01181000478.xml#r4l45        | ^ entge
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l41  | ^ en tegen

HTR: NOTI01181/NOTI01181000478.xml#r4l46        | Zeijlen, op ^ hun getuijgens schip is aange¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l42  | Zeijlen, op ^ hun getuijgens Schip is aange¬

HTR: NOTI01181/NOTI01181000478.xml#r4l47        | zeijlt aan bakboord zijde op de hoogte
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l43  | zeijlt aan bakboord Zijde op de hoogte

HTR: NOTI01181/NOTI01181000478.xml#r4l50        | gens schip heeft bekoomen de navol¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l46  | gens Schip heeft bekoomen de navol¬

HTR: NOTI01181/NOTI01181000478.xml#r4l51        | gende schaade, te weeten dat de bak¬
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l47  | gende Schaade, te weeten, dat de bak¬

HTR: NOTI01181/NOTI01181000478.xml#r4l52        | dat de zijde en een
GT : 12788_NOTI01181/NOTI01181000478.xml#r4l48  | dat de Zijde en een

HTR: NOTI01181/NOTI01181000478.xml#r2l1         | 2 October
GT : 12788_NOTI01181/NOTI01181000478.xml#r2l1   | 20 October.

HTR: NOTI01181/NOTI01181000478.xml#r2l2         | No. 163
GT : 12788_NOTI01181/NOTI01181000478.xml#r2l2   | No. 163.

HTR: NOTI01181/NOTI01181000478.xml#r1l2         | Jaars seventien hondert vijf en veertig
GT : 12788_NOTI01181/NOTI01181000478.xml#r1l2   | Jaars Seventien hondert vijf en veertig

HTR: NOTI01181/NOTI01181000478.xml#r1l6         | teert
GT : 12788_NOTI01181/NOTI01181000478.xml#r1l6   | teert.

HTR: NOTI01181/NOTI01181000479.xml#r2l7         | W Huijghens
GT : 12788_NOTI01181/NOTI01181000479.xml#r2l7   | W. Huijghens

HTR: NOTI01181/NOTI01181000479.xml#r2l8         | E Lager stond)
GT : 12788_NOTI01181/NOTI01181000479.xml#r2l8   | (Lager Stond

HTR: NOTI01181/NOTI01181000479.xml#r2l10        | (getekent)
GT : 12788_NOTI01181/NOTI01181000479.xml#r2l10  | (getekent )

HTR: NOTI01181/NOTI01181000479.xml#r1l3         | is geraakt, dat de Kraanbalk en desen
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l3   | is geraakt, dat de kraanbalk en dese

HTR: NOTI01181/NOTI01181000479.xml#r1l5         | en de schildbalk is ontset geworden
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l5   | en de schildbalk is ontset geworden;

HTR: NOTI01181/NOTI01181000479.xml#r1l9         | En geeven zij getuijgen voor redenen
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l10  | En geeven sij getuijgen voor redenen

HTR: NOTI01181/NOTI01181000479.xml#r1l10        | van hunne wetenschap dat zij in de boven¬
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l11  | van hunne wetenschap dat zij in de boven

HTR: NOTI01181/NOTI01181000479.xml#r1l21        | Gepasseert binnen Amsteldam in preesentie van
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l22  | Gepasseert binnen Amsteldam in praesentie van

HTR: NOTI01181/NOTI01181000479.xml#r1l24        | Sijbrant Vrujman
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l25  | Sijbrant Vriesman

HTR: NOTI01181/NOTI01181000479.xml#r1l25        | Ja Swalf
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l26  | Lau Swalf

HTR: NOTI01181/NOTI01181000479.xml#r1l29        | H.M: Hoet
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l30  | H. M. Hoet

HTR: NOTI01181/NOTI01181000479.xml#r1l32        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l32  | H: V: Heel

HTR: NOTI01181/NOTI01181000479.xml#r1l33        | Notaris.
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l33  | Notaris

HTR: NOTI01181/NOTI01181000479.xml#r1l34        | (achter de grosse stond)
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l34  | (achter de grosse Stond)

HTR: NOTI01181/NOTI01181000479.xml#r1l36        | schepen der stad Amsteldam Sijbrant
GT : 12788_NOTI01181/NOTI01181000479.xml#r1l36  | Schepen der stad Amsteldam Sijbrant

HTR: NOTI01181/NOTI01181000480.xml#r1l2         | Cliford
GT : 12788_NOTI01181/NOTI01181000480.xml#r1l2   | Clifford.

HTR: NOTI01181/NOTI01181000480.xml#r1l3         | Genetale Procuratie
GT : 12788_NOTI01181/NOTI01181000480.xml#r1l3   | Generale

HTR: NOTI01181/NOTI01181000480.xml#r1l3         | Genetale Procuratie
GT : 12788_NOTI01181/NOTI01181000480.xml#r1l4   | Procuratie

HTR: NOTI01181/NOTI01181000481.xml#r4l2         | de Heer John Fickson
GT : 12788_NOTI01181/NOTI01181000481.xml#r4l2   | De Heer John Fickson

HTR: NOTI01181/NOTI01181000481.xml#r4l6         | Constitueeren en magtig te maken D E¬
GT : 12788_NOTI01181/NOTI01181000481.xml#r4l6   | Constitueeren en magtig te maken D E

HTR: NOTI01181/NOTI01181000481.xml#r4l7         | Jan Alexander Crejgh¬
GT : 12788_NOTI01181/NOTI01181000481.xml#r4l7   | Jan Alexander Creygh¬

HTR: NOTI01181/NOTI01181000481.xml#r4l14        | en Geregten alle termijnen van Rech¬
GT : 12788_NOTI01181/NOTI01181000481.xml#r4l14  | en Geregten alle termynen van Rech¬

HTR: NOTI01181/NOTI01181000481.xml#r4l23        | noodig zeyn en vereyscht zal werden e
GT : 12788_NOTI01181/NOTI01181000481.xml#r4l23  | noodig zeyn en vereyscht zal werden en

HTR: NOTI01181/NOTI01181000481.xml#r2l1         | 8 October
GT : 12788_NOTI01181/NOTI01181000481.xml#r2l1   | 10 october

HTR: NOTI01181/NOTI01181000481.xml#r2l2         | No. 164
GT : 12788_NOTI01181/NOTI01181000481.xml#r2l2   | No 164.

HTR: NOTI01181/NOTI01181000481.xml#r1l2         | seventien hondert vijf en veertig: compa¬
GT : 12788_NOTI01181/NOTI01181000481.xml#r1l2   | seventien hondert vijf en veertig; compa¬

HTR: NOTI01181/NOTI01181000482.xml#r2l2         | prasentie van Hendrik Mooyman
GT : 12788_NOTI01181/NOTI01181000482.xml#r1l2   | praesentie van Hendrik Mooyman

HTR: NOTI01181/NOTI01181000482.xml#r2l6         | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000482.xml#r1l6   | H: M: Hoet

HTR: NOTI01181/NOTI01181000482.xml#r2l10        | Notaris.
GT : 12788_NOTI01181/NOTI01181000482.xml#r1l10  | Notaris

HTR: NOTI01181/NOTI01181000483.xml#r1l1         | Clford
GT : 12788_NOTI01181/NOTI01181000483.xml#r1l1   | Clifford

HTR: NOTI01181/NOTI01181000483.xml#r1l8         | Gt.
GT : 12788_NOTI01181/NOTI01181000483.xml#r1l8   | Gt:

HTR: NOTI01181/NOTI01181000484.xml#r4l1         | de Heer Pieter Langendjk
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l1   | de Heer Pieter Langendijk

HTR: NOTI01181/NOTI01181000484.xml#r4l2         | wonende te Edam, dog zjnde
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l2   | wonende te Edam, dog zijnde

HTR: NOTI01181/NOTI01181000484.xml#r4l4         | mij Notaris bekend
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l4   | mij Notaris bekend.

HTR: NOTI01181/NOTI01181000484.xml#r4l6         | Constitueeren en magtig te maken de
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l6   | Constitueeren en magtig te maken de.

HTR: NOTI01181/NOTI01181000484.xml#r4l8         | Procureur voor ^den Ed Achtb geregten deser
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l8   | Procureur voor ^ ^ den Ed Achtb geregten deser

HTR: NOTI01181/NOTI01181000484.xml#r4l9         | Stad Generalyk om alle zaaken tegen een
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l9   | stad Generalyk om alle zaaken tegen een

HTR: NOTI01181/NOTI01181000484.xml#r4l14        | rechten te observeeren en soo in Conven
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l14  | rechten te observeeren en soo in Conven¬

HTR: NOTI01181/NOTI01181000484.xml#r4l18        | ren arresten te doen, deselve te bekla¬
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l18  | ren arresten te doen deselve te bekla¬

HTR: NOTI01181/NOTI01181000484.xml#r4l26        | deses zal werden gedaan en verrigt
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l26  | deses zal werden gedaan en verrigt.

HTR: NOTI01181/NOTI01181000484.xml#r4l27        | onder verband als na Rechten.
GT : 12788_NOTI01181/NOTI01181000484.xml#r3l27  | onder verband als na Rechten

HTR: NOTI01181/NOTI01181000485.xml#r1l2         | in presentie van Hendrik Mooiyman
GT : 12788_NOTI01181/NOTI01181000485.xml#r1l2   | in presentie van Hendrik Mooyman

HTR: NOTI01181/NOTI01181000485.xml#r1l5         | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000485.xml#r1l5   | H: M: Hoet

HTR: NOTI01181/NOTI01181000486.xml#r2l4         | compareerde voor mij Hermanus
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l4   | Compareerde voor mij Hermanus

HTR: NOTI01181/NOTI01181000486.xml#r2l9         | wonende binnen dese stad op de Keijsers
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l10  | wonende binnen dese stad op de Keijsers¬

HTR: NOTI01181/NOTI01181000486.xml#r2l11        | te kennen gevende dat door of van
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l12  | te Kennen gevende dat door of van

HTR: NOTI01181/NOTI01181000486.xml#r2l15        | in zijn leven Fiscaal en Koopman in
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l16  | in Zijn leven Fiscaal en Koopman in

HTR: NOTI01181/NOTI01181000486.xml#r2l17        | Oost Indische Compagnie deser Zanders
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l18  | Oost Indische Compagnie deser Landens

HTR: NOTI01181/NOTI01181000486.xml#r2l18        | voor d' Edele achtbaare Heeren Scheepe¬
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l19  | voor d' Edele Achtbaare Heeren scheepe¬

HTR: NOTI01181/NOTI01181000486.xml#r2l19        | nen deser stad ter Vierschaar zijnde gedaa
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l20  | nen deser stad ter Vierschaar Zijnde gedag¬

HTR: NOTI01181/NOTI01181000486.xml#r2l25        | Heer Mr. Johand dewer de Hamer
GT : 12788_NOTI01181/NOTI01181000486.xml#line_1552317112638_278 | Heer Mr. Johan de Hamer uijt naam

HTR: NOTI01181/NOTI01181000486.xml#r2l25        | Heer Mr. Johand dewer de Hamer
GT : 12788_NOTI01181/NOTI01181000486.xml#line_1552317141975_292 | de wede de Hamer

HTR: NOTI01181/NOTI01181000486.xml#r2l27        | van de vrouwe om
GT : 12788_NOTI01181/NOTI01181000486.xml#line_1552317150040_297 | van de vrouwe Comparante tegen de op¬

HTR: NOTI01181/NOTI01181000486.xml#r2l32        | de Ede. achtbaare Heeren Scheepenen
GT : 12788_NOTI01181/NOTI01181000486.xml#line_1552317405335_310 | de Ede. achtbaere Heeren Scheepenen

HTR: NOTI01181/NOTI01181000486.xml#r2l38        | wijlen de voorn. Heer Mr. Johan
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l39  | wijlen de voorn. Heer Mr. Johan de

HTR: NOTI01181/NOTI01181000486.xml#r2l45        | Caspar Louis Kerksteen in zijne ona¬
GT : 12788_NOTI01181/NOTI01181000486.xml#r2l46  | Caspar Louis Kerksteen in Zijne qua

HTR: NOTI01181/NOTI01181000486.xml#r1l1         | No. 166
GT : 12788_NOTI01181/NOTI01181000486.xml#r1l1   | No. 166.

HTR: NOTI01181/NOTI01181000486.xml#r1l2         | Gt.
GT : 12788_NOTI01181/NOTI01181000486.xml#r1l2   | Gt:

HTR: NOTI01181/NOTI01181000487.xml#r3l1         | de gerequireerde cautie te præsteeren
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l1   | de gerequireerde Cautie te præsteeren

HTR: NOTI01181/NOTI01181000487.xml#r3l5         | vel ten behoeven
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l5   | wel ten behoeven

HTR: NOTI01181/NOTI01181000487.xml#r3l6         | dan ook heeft
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l6   | da ook heeft

HTR: NOTI01181/NOTI01181000487.xml#r3l10        | obligeeren interponeeren
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l10  | obligeeren interponeeren.

HTR: NOTI01181/NOTI01181000487.xml#r3l20        | soo uijt naam van de voorn Heer Cas¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l20  | soo uijt naam van de voorn. Heer Cas¬

HTR: NOTI01181/NOTI01181000487.xml#r3l29        | daar in soude mogen werden gecondem¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l29  | daar in soude mogen werden gecondem

HTR: NOTI01181/NOTI01181000487.xml#r3l30        | neert, te zullen voldoen; en verklaert
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l30  | neert, te zullen voldaen, en verklaert

HTR: NOTI01181/NOTI01181000487.xml#r3l34        | Senatus Consultum velleJanum ende Wil
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l34  | Senatus consultum velleJanum ende Wil¬

HTR: NOTI01181/NOTI01181000487.xml#r3l37        | was deese kragt zouden hebben dat
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l37  | was deese Kragt Zouden hebben dat

HTR: NOTI01181/NOTI01181000487.xml#r3l46        | daar voor haar Ve. Comparantes persoonen
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l46  | daarvoor haar Ve. Comparantes persoone en

HTR: NOTI01181/NOTI01181000487.xml#r3l48        | goederen als na Rechten
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l47  | goederen als na Rechten.

HTR: NOTI01181/NOTI01181000487.xml#r3l49        | Gepasseert binnen Amsteldam in praesentie van
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l48  | Gepasseert binnen Amsteldam in præsentie van

HTR: NOTI01181/NOTI01181000487.xml#r3l51        | als getuijgen
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l50  | als getuijgen.

HTR: NOTI01181/NOTI01181000487.xml#r3l52        | De Wede: Joost Voogt
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l51  | De Wed: Joost Voogt

HTR: NOTI01181/NOTI01181000487.xml#r3l53        | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l52  | H: M: Hoet

HTR: NOTI01181/NOTI01181000487.xml#r3l55        | Pieter LakemanH:V: Heel
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l54  | Pieter Lakeman HV

HTR: NOTI01181/NOTI01181000487.xml#r3l55        | Pieter LakemanH:V: Heel
GT : 12788_NOTI01181/NOTI01181000487.xml#r3l55  | Heel

HTR: NOTI01181/NOTI01181000487.xml#r2l4         | te noemen, te Exhibeeren alle de boeken, bo¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l4   | te noemen, te Exhibeeren alle de boeken, br¬

HTR: NOTI01181/NOTI01181000487.xml#r2l8         | van geen andere te hebben, te weeten, of ter
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l8   | van geen andere te hebben, te weeten of ter

HTR: NOTI01181/NOTI01181000487.xml#r2l10        | te zijn, met vrij acces en visie voor de vrouw
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l10  | te zijn, met vrij acces en visie voor de vrou¬

HTR: NOTI01181/NOTI01181000487.xml#r2l12        | rade, als mede met faculteijt omme da
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l12  | rade, als mede met faculteijt omme dae

HTR: NOTI01181/NOTI01181000487.xml#r2l14        | Extracten als nodig zoude werden bevonde
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l14  | Extracten als nodig zoude werden bevonden

HTR: NOTI01181/NOTI01181000487.xml#r2l16        | van den Rechter of van neutrale kund
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l16  | van den Rechter of van neutrale Kundi¬

HTR: NOTI01181/NOTI01181000487.xml#r2l20        | gaande debatte soo van de opgemelde Inve
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l19  | gaande debatte soo van de opgemelde Inven¬

HTR: NOTI01181/NOTI01181000487.xml#r2l21        | taris als van de te doene rekening en zuij¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l20  | taris als van de te doene rekening en Zuij¬

HTR: NOTI01181/NOTI01181000487.xml#r2l22        | vering van erreuren te sijveren adjuste¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l21  | vering van erreuren te suijveren adjustee¬

HTR: NOTI01181/NOTI01181000487.xml#r2l23        | rennen en te sluijten en het saldo van desel¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l22  | ren en en te sluijten en het saldo van desel¬

HTR: NOTI01181/NOTI01181000487.xml#r2l27        | schap overig zullen zijn aan en ter instante
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l26  | schap overig zullen zijn, aan en ter instante

HTR: NOTI01181/NOTI01181000487.xml#r2l28        | van haar Vre. de weduwe d Maines tegens
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l27  | van haar Ve. de weduwe d Maines tegens

HTR: NOTI01181/NOTI01181000487.xml#r2l31        | van t proces ofte tot anderen e. en bij pr
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l30  | van t proces ofte tot anderen etc. en bij pr

HTR: NOTI01181/NOTI01181000487.xml#r2l35        | ken, Chartres en papieren ter neutraalen
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l34  | ken, Chartres en papieren ter neutraaler

HTR: NOTI01181/NOTI01181000487.xml#r2l44        | van domicilum binen dese stad, de op¬
GT : 12788_NOTI01181/NOTI01181000487.xml#r2l43  | van domicilium binen dese stad, de op¬

HTR: NOTI01181/NOTI01181000488.xml#r2l3         | de goederen en in't generaal
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l3   | de goederen en in 't generaal

HTR: NOTI01181/NOTI01181000488.xml#r2l9         | hebbende op het schip genaemt
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l9   | hebbende op het Schip genaemt

HTR: NOTI01181/NOTI01181000488.xml#r2l11        | door Capn. Jacob Stoel en op
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l11  | door Cap.n Jacob Stoel en op

HTR: NOTI01181/NOTI01181000488.xml#r2l13        | racao na deese stad over
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l13  | racao na deese Stad over

HTR: NOTI01181/NOTI01181000488.xml#r2l16        | Hendrik Appel Deurwaar
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l16  | Hendrik Appel Deurwaar¬

HTR: NOTI01181/NOTI01181000488.xml#r2l21        | met de clausule van relief
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l21  | met de clausule van Relief

HTR: NOTI01181/NOTI01181000488.xml#r2l22        | in dato den 8e september
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l22  | in dato den 8.e september

HTR: NOTI01181/NOTI01181000488.xml#r2l27        | Hillegom Jan van Loo
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l27  | Hillegom, Jan van Loo

HTR: NOTI01181/NOTI01181000488.xml#r2l29        | Alida van Hillegom en Dirk
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l29  | Alida van Hillegom en Dirk¬

HTR: NOTI01181/NOTI01181000488.xml#r2l35        | op den 4e. Junij des Jaars 1732
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l35  | op den 4.e Junij des Jaars 1732

HTR: NOTI01181/NOTI01181000488.xml#r2l43        | Hillegom als rendanten
GT : 12788_NOTI01181/NOTI01181000488.xml#r2l43  | Hillegom als Rendanten

HTR: NOTI01181/NOTI01181000488.xml#r1l2         | Gt
GT : 12788_NOTI01181/NOTI01181000488.xml#r1l2   | t

HTR: NOTI01181/NOTI01181000488.xml#r1l3         | M
GT : 12788_NOTI01181/NOTI01181000488.xml#r1l3   | G.

HTR: NOTI01181/NOTI01181000489.xml#r5l4         | 6:
GT : 12788_NOTI01181/NOTI01181000489.xml#r4l1   | 6

HTR: NOTI01181/NOTI01181000489.xml#r5l9         | 5:
GT : 12788_NOTI01181/NOTI01181000489.xml#r4l3   | 5

HTR: NOTI01181/NOTI01181000489.xml#r5l11        | 1:10:
GT : 12788_NOTI01181/NOTI01181000489.xml#r4l4   | 1:10

HTR: NOTI01181/NOTI01181000489.xml#r5l13        | 4
GT : 12788_NOTI01181/NOTI01181000489.xml#r4l5   | 4:

HTR: NOTI01181/NOTI01181000489.xml#r5l18        | 1
GT : 12788_NOTI01181/NOTI01181000489.xml#r4l9   | 1:

HTR: NOTI01181/NOTI01181000489.xml#r3l1         | op de solder
GT : 12788_NOTI01181/NOTI01181000489.xml#r3l1   | op de Solder

